name,matrix,ones
A,[0000; 1000; 0100; 0000],2
I,[1000; 0000; 0010; 0000],2
R,[1000; 0000; 0010; 0001],3
S,[1100; 0100; 0010; 0001],5
B1,[0000; 0000; 0000; 0000],0
B10,[1000; 0000; 0000; 0000],1
B11,[1000; 0000; 0100; 0000],2
B12,[1000; 0000; 1000; 0000],2
B13,[1000; 1000; 0000; 0000],2
B14,[1000; 1000; 0100; 0000],3
B15,[1000; 1000; 1000; 0000],3
B16,[1100; 0000; 0000; 0000],2
B17,[1100; 0000; 0010; 0000],3
B18,[1100; 0000; 0010; 0001],4
B19,[1100; 0000; 0100; 0000],3
B2,[0000; 0000; 0100; 0000],1
B20,[1100; 0000; 1100; 0000],4
B21,[1100; 1100; 0000; 0000],4
B22,[1100; 1100; 0100; 0000],5
B23,[1100; 1100; 1100; 0000],6
B3,[0000; 0000; 1000; 0000],1
B4,[0000; 0000; 1100; 0000],2
B5,[0000; 1000; 0000; 0000],1
B6,[0000; 1000; 1000; 0000],2
B7,[0000; 1100; 0000; 0000],2
B8,[0000; 1100; 0100; 0000],3
B9,[0000; 1100; 1100; 0000],4
