name,idempotent,nilpotent_index_le_4,square
A,False,True,B3
I,True,False,I
R,True,False,R
S,True,False,S
B1,True,True,B1
B10,True,False,B10
B11,False,False,B10
B12,True,False,B12
B13,True,False,B13
B14,False,False,B15
B15,True,False,B15
B16,True,False,B16
B17,True,False,B17
B18,True,False,B18
B19,False,False,B16
B2,False,True,B1
B20,True,False,B20
B21,True,False,B21
B22,False,False,B23
B23,True,False,B23
B3,False,True,B1
B4,False,True,B1
B5,False,True,B1
B6,False,True,B1
B7,True,False,B7
B8,False,False,B9
B9,True,False,B9
