source,canon_word,append,product_word,reduces_to,dest
A,A,A,AA,AA,E5
A,A,I,AI,AI,E6
A,A,R,AR,AI,E6
A,A,S,AS,AS,E7
I,I,A,IA,IA,E8
I,I,I,II,I,I
I,I,R,IR,I,I
I,I,S,IS,IS,E9
R,R,A,RA,IA,E8
R,R,I,RI,I,I
R,R,R,RR,R,R
R,R,S,RS,RS,E10
S,S,A,SA,SA,E11
S,S,I,SI,I,I
S,S,R,SR,R,R
S,S,S,SS,S,S
E5,AA,A,AAA,AAA,E12
E5,AA,I,AAI,AA,E5
E5,AA,R,AAR,AA,E5
E5,AA,S,AAS,AAS,E13
E6,AI,A,AIA,AAA,E12
E6,AI,I,AII,AI,E6
E6,AI,R,AIR,AI,E6
E6,AI,S,AIS,AIS,E14
E7,AS,A,ASA,ASA,E15
E7,AS,I,ASI,AI,E6
E7,AS,R,ASR,AI,E6
E7,AS,S,ASS,AS,E7
E8,IA,A,IAA,AA,E5
E8,IA,I,IAI,AAA,E12
E8,IA,R,IAR,AAA,E12
E8,IA,S,IAS,IA,E8
E9,IS,A,ISA,ISA,E16
E9,IS,I,ISI,I,I
E9,IS,R,ISR,I,I
E9,IS,S,ISS,IS,E9
E10,RS,A,RSA,ISA,E16
E10,RS,I,RSI,I,I
E10,RS,R,RSR,R,R
E10,RS,S,RSS,RS,E10
E11,SA,A,SAA,AA,E5
E11,SA,I,SAI,SAI,E17
E11,SA,R,SAR,SAI,E17
E11,SA,S,SAS,SAS,E18
E12,AAA,A,AAAA,AAA,E12
E12,AAA,I,AAAI,AAA,E12
E12,AAA,R,AAAR,AAA,E12
E12,AAA,S,AAAS,AAA,E12
E13,AAS,A,AASA,AA,E5
E13,AAS,I,AASI,AA,E5
E13,AAS,R,AASR,AA,E5
E13,AAS,S,AASS,AAS,E13
E14,AIS,A,AISA,AI,E6
E14,AIS,I,AISI,AI,E6
E14,AIS,R,AISR,AI,E6
E14,AIS,S,AISS,AIS,E14
E15,ASA,A,ASAA,AAA,E12
E15,ASA,I,ASAI,ASA,E15
E15,ASA,R,ASAR,ASA,E15
E15,ASA,S,ASAS,ASAS,E19
E16,ISA,A,ISAA,AA,E5
E16,ISA,I,ISAI,ISAI,E20
E16,ISA,R,ISAR,ISAI,E20
E16,ISA,S,ISAS,ISAS,E21
E17,SAI,A,SAIA,AAA,E12
E17,SAI,I,SAII,SAI,E17
E17,SAI,R,SAIR,SAI,E17
E17,SAI,S,SAIS,SAIS,E22
E18,SAS,A,SASA,SASA,E23
E18,SAS,I,SASI,SAI,E17
E18,SAS,R,SASR,SAI,E17
E18,SAS,S,SASS,SAS,E18
E19,ASAS,A,ASASA,ASA,E15
E19,ASAS,I,ASASI,ASA,E15
E19,ASAS,R,ASASR,ASA,E15
E19,ASAS,S,ASASS,ASAS,E19
E20,ISAI,A,ISAIA,AAA,E12
E20,ISAI,I,ISAII,ISAI,E20
E20,ISAI,R,ISAIR,ISAI,E20
E20,ISAI,S,ISAIS,ISAIS,E24
E21,ISAS,A,ISASA,ISASA,E25
E21,ISAS,I,ISASI,ISAI,E20
E21,ISAS,R,ISASR,ISAI,E20
E21,ISAS,S,ISASS,ISAS,E21
E22,SAIS,A,SAISA,SAI,E17
E22,SAIS,I,SAISI,SAI,E17
E22,SAIS,R,SAISR,SAI,E17
E22,SAIS,S,SAISS,SAIS,E22
E23,SASA,A,SASAA,AAA,E12
E23,SASA,I,SASAI,SASA,E23
E23,SASA,R,SASAR,SASA,E23
E23,SASA,S,SASAS,SASAS,E26
E24,ISAIS,A,ISAISA,ISAI,E20
E24,ISAIS,I,ISAISI,ISAI,E20
E24,ISAIS,R,ISAISR,ISAI,E20
E24,ISAIS,S,ISAISS,ISAIS,E24
E25,ISASA,A,ISASAA,AAA,E12
E25,ISASA,I,ISASAI,ISASA,E25
E25,ISASA,R,ISASAR,ISASA,E25
E25,ISASA,S,ISASAS,ISASAS,E27
E26,SASAS,A,SASASA,SASA,E23
E26,SASAS,I,SASASI,SASA,E23
E26,SASAS,R,SASASR,SASA,E23
E26,SASAS,S,SASASS,SASAS,E26
E27,ISASAS,A,ISASASA,ISASA,E25
E27,ISASAS,I,ISASASI,ISASA,E25
E27,ISASAS,R,ISASASR,ISASA,E25
E27,ISASAS,S,ISASASS,ISASAS,E27
