rule1,rule2,type,overlap_len,source,left_peak,right_peak,left_nfs,right_nfs,joinable,common_nf
AR->AI,RA->IA,suffix/prefix,1,ARA,AIA,AIA,AAA,AAA,True,AAA
AR->AI,RSA->ISA,suffix/prefix,1,ARSA,AISA,AISA,AI,AI,True,AI
AR->AI,RI->I,suffix/prefix,1,ARI,AII,AI,AI,AI,True,AI
AR->AI,RR->R,suffix/prefix,1,ARR,AIR,AR,AI,AI,True,AI
RA->IA,AR->AI,suffix/prefix,1,RAR,IAR,RAI,AAA,AAA,True,AAA
RA->IA,AIA->AAA,suffix/prefix,1,RAIA,IAIA,RAAA,AAA,AAA,True,AAA
RA->IA,AAI->AA,suffix/prefix,1,RAAI,IAAI,RAA,AA,AA,True,AA
RA->IA,AAAA->AAA,suffix/prefix,1,RAAAA,IAAAA,RAAA,AAA,AAA,True,AAA
RA->IA,AAAS->AAA,suffix/prefix,1,RAAAS,IAAAS,RAAA,AAA,AAA,True,AAA
RA->IA,ASAI->ASA,suffix/prefix,1,RASAI,IASAI,RASA,AA,AA,True,AA
RA->IA,AASA->AA,suffix/prefix,1,RAASA,IAASA,RAA,AA,AA,True,AA
RA->IA,AISA->AI,suffix/prefix,1,RAISA,IAISA,RAI,AAA,AAA,True,AAA
RA->IA,ASASA->ASA,suffix/prefix,1,RASASA,IASASA,RASA,AA,AA,True,AA
AIA->AAA,AR->AI,suffix/prefix,1,AIAR,AAAR,AIAI,AAA,AAA,True,AAA
AIA->AAA,AIA->AAA,suffix/prefix,1,AIAIA,AAAIA,AIAAA,AAA,AAA,True,AAA
AIA->AAA,IAI->AAA,suffix/prefix,2,AIAI,AAAI,AAAA,AAA,AAA,True,AAA
AIA->AAA,AAI->AA,suffix/prefix,1,AIAAI,AAAAI,AIAA,AAA,AAA,True,AAA
AIA->AAA,IAA->AA,suffix/prefix,2,AIAA,AAAA,AAA,AAA,AAA,True,AAA
AIA->AAA,IAS->IA,suffix/prefix,2,AIAS,AAAS,AIA,AAA,AAA,True,AAA
AIA->AAA,AAAA->AAA,suffix/prefix,1,AIAAAA,AAAAAA,AIAAA,AAA,AAA,True,AAA
AIA->AAA,AAAS->AAA,suffix/prefix,1,AIAAAS,AAAAAS,AIAAA,AAA,AAA,True,AAA
AIA->AAA,ASAI->ASA,suffix/prefix,1,AIASAI,AAASAI,AIASA,AAA,AAA,True,AAA
AIA->AAA,AASA->AA,suffix/prefix,1,AIAASA,AAAASA,AIAA,AAA,AAA,True,AAA
AIA->AAA,AISA->AI,suffix/prefix,1,AIAISA,AAAISA,AIAI,AAA,AAA,True,AAA
AIA->AAA,ASASA->ASA,suffix/prefix,1,AIASASA,AAASASA,AIASA,AAA,AAA,True,AAA
IAI->AAA,AIA->AAA,suffix/prefix,2,IAIA,AAAA,IAAA,AAA,AAA,True,AAA
IAI->AAA,IAI->AAA,suffix/prefix,1,IAIAI,AAAAI,IAAAA,AAA,AAA,True,AAA
IAI->AAA,II->I,suffix/prefix,1,IAII,AAAI,IAI,AAA,AAA,True,AAA
IAI->AAA,IR->I,suffix/prefix,1,IAIR,AAAR,IAI,AAA,AAA,True,AAA
IAI->AAA,IAA->AA,suffix/prefix,1,IAIAA,AAAAA,IAAA,AAA,AAA,True,AAA
IAI->AAA,IAS->IA,suffix/prefix,1,IAIAS,AAAAS,IAIA,AAA,AAA,True,AAA
IAI->AAA,AISA->AI,suffix/prefix,2,IAISA,AAASA,IAI,AAA,AAA,True,AAA
RSA->ISA,AR->AI,suffix/prefix,1,RSAR,ISAR,RSAI,ISAI,ISAI,True,ISAI
RSA->ISA,AIA->AAA,suffix/prefix,1,RSAIA,ISAIA,RSAAA,AAA,AAA,True,AAA
RSA->ISA,AAI->AA,suffix/prefix,1,RSAAI,ISAAI,RSAA,AA,AA,True,AA
RSA->ISA,SAA->AA,suffix/prefix,2,RSAA,ISAA,RAA,AA,AA,True,AA
RSA->ISA,AAAA->AAA,suffix/prefix,1,RSAAAA,ISAAAA,RSAAA,AAA,AAA,True,AAA
