word,length,unique_nf,normal_forms
A,1,True,A
I,1,True,I
R,1,True,R
S,1,True,S
AA,2,True,AA
AI,2,True,AI
AR,2,True,AI
AS,2,True,AS
IA,2,True,IA
II,2,True,I
IR,2,True,I
IS,2,True,IS
RA,2,True,IA
RI,2,True,I
RR,2,True,R
RS,2,True,RS
SA,2,True,SA
SI,2,True,I
SR,2,True,R
SS,2,True,S
AAA,3,True,AAA
AAI,3,True,AA
AAR,3,True,AA
AAS,3,True,AAS
AIA,3,True,AAA
AII,3,True,AI
AIR,3,True,AI
AIS,3,True,AIS
ARA,3,True,AAA
ARI,3,True,AI
ARR,3,True,AI
ARS,3,True,AIS
ASA,3,True,ASA
ASI,3,True,AI
ASR,3,True,AI
ASS,3,True,AS
IAA,3,True,AA
IAI,3,True,AAA
IAR,3,True,AAA
IAS,3,True,IA
IIA,3,True,IA
III,3,True,I
IIR,3,True,I
IIS,3,True,IS
IRA,3,True,IA
IRI,3,True,I
IRR,3,True,I
IRS,3,True,IS
ISA,3,True,ISA
ISI,3,True,I
ISR,3,True,I
ISS,3,True,IS
RAA,3,True,AA
RAI,3,True,AAA
RAR,3,True,AAA
RAS,3,True,IA
RIA,3,True,IA
RII,3,True,I
RIR,3,True,I
RIS,3,True,IS
RRA,3,True,IA
RRI,3,True,I
RRR,3,True,R
RRS,3,True,RS
RSA,3,True,ISA
RSI,3,True,I
RSR,3,True,R
RSS,3,True,RS
SAA,3,True,AA
SAI,3,True,SAI
SAR,3,True,SAI
SAS,3,True,SAS
SIA,3,True,IA
SII,3,True,I
SIR,3,True,I
SIS,3,True,IS
SRA,3,True,IA
SRI,3,True,I
SRR,3,True,R
SRS,3,True,RS
SSA,3,True,SA
SSI,3,True,I
SSR,3,True,R
SSS,3,True,S
AAAA,4,True,AAA
AAAI,4,True,AAA
AAAR,4,True,AAA
AAAS,4,True,AAA
AAIA,4,True,AAA
AAII,4,True,AA
AAIR,4,True,AA
AAIS,4,True,AAS
AARA,4,True,AAA
AARI,4,True,AA
AARR,4,True,AA
AARS,4,True,AAS
AASA,4,True,AA
AASI,4,True,AA
AASR,4,True,AA
AASS,4,True,AAS
AIAA,4,True,AAA
AIAI,4,True,AAA
AIAR,4,True,AAA
AIAS,4,True,AAA
AIIA,4,True,AAA
AIII,4,True,AI
AIIR,4,True,AI
AIIS,4,True,AIS
AIRA,4,True,AAA
AIRI,4,True,AI
AIRR,4,True,AI
AIRS,4,True,AIS
AISA,4,True,AI
AISI,4,True,AI
AISR,4,True,AI
AISS,4,True,AIS
ARAA,4,True,AAA
ARAI,4,True,AAA
ARAR,4,True,AAA
ARAS,4,True,AAA
ARIA,4,True,AAA
ARII,4,True,AI
ARIR,4,True,AI
ARIS,4,True,AIS
ARRA,4,True,AAA
ARRI,4,True,AI
ARRR,4,True,AI
ARRS,4,True,AIS
ARSA,4,True,AI
ARSI,4,True,AI
ARSR,4,True,AI
ARSS,4,True,AIS
ASAA,4,True,AAA
ASAI,4,True,ASA
ASAR,4,True,ASA
ASAS,4,True,ASAS
ASIA,4,True,AAA
ASII,4,True,AI
ASIR,4,True,AI
ASIS,4,True,AIS
ASRA,4,True,AAA
ASRI,4,True,AI
ASRR,4,True,AI
ASRS,4,True,AIS
ASSA,4,True,ASA
ASSI,4,True,AI
ASSR,4,True,AI
ASSS,4,True,AS
IAAA,4,True,AAA
IAAI,4,True,AA
IAAR,4,True,AA
IAAS,4,True,AAS
IAIA,4,True,AAA
IAII,4,True,AAA
IAIR,4,True,AAA
IAIS,4,True,AAA
IARA,4,True,AAA
IARI,4,True,AAA
IARR,4,True,AAA
IARS,4,True,AAA
IASA,4,True,AA
IASI,4,True,AAA
IASR,4,True,AAA
IASS,4,True,IA
IIAA,4,True,AA
IIAI,4,True,AAA
IIAR,4,True,AAA
IIAS,4,True,IA
